Match_No,Team1,Team2,Winner,NRR
1,"KKR-33/4,5.0","CSK-34/5,4.1",CSK,0.26
2,"MI-60/1,5.0","KXI-29/5,5.0",MI,1.033
3,"SRH-29/6,5.0","RCB-30/7,3.4",RCB,0.397
4,"MI-53/2,5.0","RR-51/4,5.0",MI,0.067
5,"CSK-79/4,5.0","KXI-20/7,5.0",CSK,1.97
6,"KKR-41/3,5.0","SRH-30/5,5.0",KKR,0.37
7,"MI-26/3,5.0","RCB-30/1,2.4",RCB,1.008
8,"CSK-69/4,5.0","SRH-47/7,5.0",CSK,0.733
10,"KKR-46/6,5.0","MI-47/5,4.3",MI,0.207
9,"RR-46/7,5.0","KXI-22/8,5.0",RR,0.8
11,"RCB-50/1,5.0","KXI-7/10,3.5",RCB,1.433
12,"MI-37/7,5.0","CSK-38/0,3.0",CSK,0.878
13,"RCB-43/7,5.0","RR-13/10,3.5",RCB,1.0
14,"KXI-6/10,2.4","SRH-8/0,0.2",SRH,3.8
15,"KKR-35/7,5.0","RCB-40/5,4.3",RCB,0.315
16,"RR-48/5,5.0","SRH-50/7,4.2",SRH,0.322
17,"CSK-39/4,5.0","RCB-43/2,4.2",RCB,0.354
18,"KKR-46/5,5.0","RR-14/10,2.5",KKR,1.067
21,"CSK-47/5,5.0","RR-42/4,5.0",CSK,0.17
19,"MI-44/5,5.0","SRH-46/2,3.4",SRH,0.624
20,"KKR-45/2,5.0","KXI-25/8,5.0",KKR,0.667
